Cohort_id	Trait_onto_ID	Cancer_type	Cancer_subtype	Cancer_DOID	Case_name	Case_age_group	Case_sex	Case_size	Control_name	Control_age_group	Control_sex	Control_size	Condition	Conclusion	Platform	Tissue	Type	pubmed_id
METAC_908	179	prostate cancer	nan	10283	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	2 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	Plasma metabolite between 6 months and 12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	nan	LC-MS/MS;¹H NMR	Plasma	case vs.control group	34352290
METAC_422	179	prostate cancer	nan	10283	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	2 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	Urine metabolite between 6 months and 12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	nan	LC-MS/MS;¹H NMR	Urine	case vs.control group	34352290
METAC_423	179	prostate cancer	nan	10283	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	2 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	Stool metabolite between 6 months and 12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	nan	¹H NMR	Stool	case vs.control group	34352290
METAC_909	179	prostate cancer	nan	10283	12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	Plasma metabolite between 12 months and 6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	nan	LC-MS/MS;¹H NMR	Plasma	case vs.control group	34352290
METAC_424	179	prostate cancer	nan	10283	12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	Urine metabolite between 12 months and 6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	nan	LC-MS/MS;¹H NMR	Urine	case vs.control group	34352290
METAC_425	179	prostate cancer	nan	10283	12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	Stool metabolite between 12 months and 6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	nan	¹H NMR	Stool	case vs.control group	34352290
METAC_910	179	prostate cancer	nan	10283	4/5 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Plasma metabolite between 4/5 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	LC-MS/MS;¹H NMR	Plasma	case vs.control group	34352290
METAC_230	179	prostate cancer	nan	10283	4/5 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Urine metabolite between 4/5 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	LC-MS/MS;¹H NMR	Urine	case vs.control group	34352290
METAC_231	179	prostate cancer	nan	10283	4/5 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Stool metabolite between 4/5 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	¹H NMR	Stool	case vs.control group	34352290
METAC_911	179	prostate cancer	nan	10283	12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Plasma metabolite between 12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	LC-MS/MS;¹H NMR	Plasma	case vs.control group	34352290
METAC_232	179	prostate cancer	nan	10283	12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Urine metabolite between 12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	LC-MS/MS;¹H NMR	Urine	case vs.control group	34352290
METAC_233	179	prostate cancer	nan	10283	12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Stool metabolite between 12 weeks radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	¹H NMR	Stool	case vs.control group	34352290
METAC_912	179	prostate cancer	nan	10283	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Plasma metabolite between 6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	LC-MS/MS;¹H NMR	Plasma	case vs.control group	34352290
METAC_234	179	prostate cancer	nan	10283	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Urine metabolite between 6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	LC-MS/MS;¹H NMR	Urine	case vs.control group	34352290
METAC_235	179	prostate cancer	nan	10283	6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Stool metabolite between 6 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	¹H NMR	Stool	case vs.control group	34352290
METAC_913	179	prostate cancer	nan	10283	12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Plasma metabolite between 12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	LC-MS/MS;¹H NMR	Plasma	case vs.control group	34352290
METAC_236	179	prostate cancer	nan	10283	12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Urine metabolite between 12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	LC-MS/MS;¹H NMR	Urine	case vs.control group	34352290
METAC_237	179	prostate cancer	nan	10283	12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT)	66 (63-72)	M	32	baseline	66 (63-72)	M	32	Stool metabolite between 12 months radiation therapy to the prostate and pelvic lymph nodes (PLNRT) and baseline	nan	¹H NMR	Stool	case vs.control group	34352290
METAC_914	130	prostate cancer	nan	10283	Metabotype IV		M	7	others metabotype		M	27	Statistical comparison between the metabolic profiles of Metabotype IV versus the others	nan	¹H NMR	Plasma	case vs.control group	34344464
METAC_915	130	prostate cancer	nan	10283	Metabotype II 		M	10	Metabotype III		M	14	Statistical comparison between the metabolic profiles of Metabotype II versus Metabotype III.	nan	¹H NMR	Plasma	case vs.control group	34344464
METAC_916	170	prostate cancer	nan	10283	prostate cancer		M	39	benign prostate hyperplasia (BPH)		M	45	serum metabolites between prostate cancer patients and benign prostate hyperplasia (BPH)	nan	LC-MS	Serum	case vs.control group	34026644
METAC_917	11	prostate cancer	nan	10283	3 (M3) months postrandomization		M		baseline before ADT (BL)		M		Top metabolites affected by the androgen deprivation therapy (ADT) in the low-carbohydrate diets (LCD) arm at 3 (M3) months postrandomization	We found androsterone sulfate was most consistently reduced by ADT and was slightly further reduced in the LCD arm. Contrastingly, LCD intervention in?creased 3‐hydroxybutyric acid and various acyl‐carnitines, counteracting their re?duction during ADT. LCD also reversed the ADT‐reduced lactic acid, alanine, and S‐adenosyl methionine (SAM), elevating glycolysis metabolites and alanine. While the degree of androsterone reduction by ADT was strongly correlated with glucose and indole‐3‐carboxaldehyde, LCD disrupted such correlations.	GC/MS‐TOF;QqQ LC-HILIC-MS/MS,TripleTOF LC‐RP‐MS	Blood	case vs.control group	33949711
METAC_918	11	prostate cancer	nan	10283	6 (M6) months postrandomization		M		baseline before ADT (BL)		M		Top metabolites affected by the androgen deprivation therapy (ADT) in the low-carbohydrate diets (LCD) arm at 6 (M6) months postrandomization	We found androsterone sulfate was most consistently reduced by ADT and was slightly further reduced in the LCD arm. Contrastingly, LCD intervention in?creased 3‐hydroxybutyric acid and various acyl‐carnitines, counteracting their re?duction during ADT. LCD also reversed the ADT‐reduced lactic acid, alanine, and S‐adenosyl methionine (SAM), elevating glycolysis metabolites and alanine. While the degree of androsterone reduction by ADT was strongly correlated with glucose and indole‐3‐carboxaldehyde, LCD disrupted such correlations.	GC/MS‐TOF;QqQ LC-HILIC-MS/MS,TripleTOF LC‐RP‐MS	Blood	case vs.control group	33949711
METAC_919	158	pancreatic cancer	nan	1793	pancreatic cancer patients(peripheral blood)	31-84	F&M	22	healthy controls(peripheral blood)	27-85	F&M	40	dysregulated lipids in serum exosome between peripheral blood of pancreatic cancer patients and healthy control	signifcantly dysregulated lipids between groups were revealed by corresponding statistical analysis	LC-MRM-MS	Plasma	case vs.control group	31147790
METAC_920	158	pancreatic cancer	nan	1793	pancreatic cancer patients	69.1 ± 8.9	F&M	10	healthy control	59.0 ± 9.2	F&M	10	differential metabolites between pancreatic cancer patients and healthy controls	substantially increased levels in the patient group were found, e.g. for arginine, phenylalanine and acetoacetate, while the control samples primarily contained higher levels of hypoxanthine and isopropanol	¹H NMR	Plasma	case vs.control group	30270368
METAC_921	217	pancreatic cancer	nan	1793	patient-derived orthotopic xenograft	60.23 ± 8.51	F&M	17	pancreatic cancer patients	61.8 ± 8.2	F&M	25	Comparative analysis of metabolite profiling between original patient tumors and patient-derived heterotopic xenograft tumors	Thirteen of the total 23 metabolites were not significantly different from those of the original primary tumor for both PDOX and PDAX models, and five metabolites differed in both groups	LC-MS/MS	Pancreatic tissue	case vs.control group	29487698
METAC_922	217	pancreatic cancer	nan	1793	patient-derived heterotopic xenograft	62.17 ± 7.69	F&M	18	pancreatic cancer patients	61.8 ± 8.2	F&M	25	Comparative analysis of metabolite profiling between original patient tumors and patient-derived orthotopic xenograft tumors	Thirteen of the total 23 metabolites were not significantly different from those of the original primary tumor for both PDOX and PDAX models, and five metabolites differed in both groups	LC-MS/MS	Pancreatic tissue	case vs.control group	29487698
METAC_923	158	pancreatic cancer	nan	1793	pancreatic cancer/biliary tract cancer group	63.1 ± 10.9	F&M	90	ovarian cancer/colorectal cancer/healthy control group	58.3 ± 9.8	F&M	230	metabolites which can discriminate between pancreatic cancer/biliary tract cancer and ovarian cancer/colorectal cancer/healthy control	fourteen discriminative LMIs were identified, and each showed perfect discrimination between the PC and BTC groups and the control, CRC, and OVC group	LC-MS/MS	Serum	case vs.control group	30174764
METAC_924	158	pancreatic cancer	nan	1793	pancreatic cancer group	63.7 ± 10.6	F&M	51	biliary tract cancer group	62.3 ± 11.3	F&M	39	metabolites which can help discriminate between pancreatic cancer and biliary tract cancer	lysophosphatidylcholine (LysoPC) (16:0) and LysoPC(20:4(5Z,8Z,11Z,14Z)), identified according to their MS/MS patterns in the analyses of the sera of BTC patients, could discriminate between PC and BTC	LC-MS/MS	Serum	case vs.control group	30174764
METAC_925	158	pancreatic cancer	nan	1793	pancreatic cancer/biliary tract cancer patients		F&M	64	pancreatic cancer/biliary tract cancer high risk group		F&M	36	metabolites which can discriminate between pancreatic cancer/biliary tract cancer and pancreatic cancer/biliary tract cancer high risk group	nan	LC-MS/MS	Serum	case vs.control group	30174764
METAC_926	158	pancreatic cancer	nan	1793	normal control group	79	F&M	48	pancreatic cancer group	74.2	F&M	59	ten metabolite PC biomarker expression between Pancreatic Cancer group and Normal Control group	eight of the ten metabolites were down-regulated in PC, including lactate, LysoPC (18:2), alanine, choline, threonine, asparagine, tyrosine, and lysine. Palmitate and 3-hydroxybutyrate were upregulated in PC when compared to normal controls.	UPLC-MS	Serum	case vs.control group	28978166
METAC_927	158	pancreatic cancer	nan	1793	Type 2 diabetes mellitus group	55	F&M	19	pancreatic cancer group	74.2	F&M	59	ten metabolite PC biomarker expression between Pancreatic Cancer group and Type 2 diabetes mellitus group	eight of the ten metabolites were down-regulated in PC, including lactate, LysoPC (18:2), alanine, choline, threonine, asparagine, tyrosine, and lysine. Palmitate and 3-hydroxybutyrate were upregulated in PC when compared to normal controls.	UPLC-MS	Serum	case vs.control group	28978166
METAC_928	158	pancreatic cancer	nan	1793	colorectal cancer group	63.45	F&M	66	pancreatic cancer group	74.2	F&M	59	ten metabolite PC biomarker expression between Pancreatic Cancer group and colorectal cancer group	eight of the ten metabolites were down-regulated in PC, including lactate, LysoPC (18:2), alanine, choline, threonine, asparagine, tyrosine, and lysine. Palmitate and 3-hydroxybutyrate were upregulated in PC when compared to normal controls.	UPLC-MS	Serum	case vs.control group	28978166
METAC_929	217	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	Panc-1 cell subcutaneous xenograft				healthy control mice				The significantly differential metabolites in serum between Panc-1 cell subcutaneous xenograft and controls	SX and OX models both in BxPC-3 and Panc-1 cell groups demonstrated similar metabonomic characteristics in serum, where the differential metabolites from SX and OX share the same variation trends and no one showed contrary variation trend	¹H NMR	Serum	case vs.control group	28977862
METAC_930	217	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	Panc-1 cell orthotopic xenograft				healthy control mice				The significantly differential metabolites in serum between Panc-1 cell orthotopic xenograft and controls	SX and OX models both in BxPC-3 and Panc-1 cell groups demonstrated similar metabonomic characteristics in serum, where the differential metabolites from SX and OX share the same variation trends and no one showed contrary variation trend	¹H NMR	Serum	case vs.control group	28977862
METAC_931	217	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	BxPC-3 cell subcutaneous xenograft				healthy control mice				The significantly differential metabolites in serum between BxPC-3 cell subcutaneous xenograft and controls	SX and OX models both in BxPC-3 and Panc-1 cell groups demonstrated similar metabonomic characteristics in serum, where the differential metabolites from SX and OX share the same variation trends and no one showed contrary variation trend	¹H NMR	Serum	case vs.control group	28977862
METAC_932	217	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	BxPC-3 cell orthotopic xenograft				healthy control mice				The significantly differential metabolites in serum between BxPC-3 cell orthotopic  xenograft and controls	SX and OX models both in BxPC-3 and Panc-1 cell groups demonstrated similar metabonomic characteristics in serum, where the differential metabolites from SX and OX share the same variation trends and no one showed contrary variation trend	¹H NMR	Serum	case vs.control group	28977862
METAC_933	158	pancreatic cancer	nan	1793	pancreatic cancer with new-onset diabetic mellitus patients	62.85 ± 9.86	F&M	30	new-onset diabetic mellitus patients	52.76 ± 9.94	F&M	30	Differential plasma metabolites in pancreatic cancer with new-onset diabetic mellitus patients compared to controls (new-onset diabetic mellitus patients)	21 variables were identified between the two groups in the positive mode and 41 in the negative mode.	LC-MS	Plasma	case vs.control group	28418859
METAC_934	158	pancreatic cancer	nan	1793	Pancreatic adenocarcinomas from patients			44	pancreatic parenchyma from patients			9	Differential metabolites in Pancreatic adenocarcinomas tissue compared to pancreatic parenchyma(healthy tissue)	Choline (p = 0.0014), ethanolamine (p = 0.0226), glycerol (p = 0.0037), glycine (p = 0.0005), lactate (p = 0.0006), and taurine (p = 0.0021) were statistically significant between PP and PA (both without any neoadjuvant chemotherapy)	HR-MAS NMR	Pancreatic tissue	case vs.control group	28298227
METAC_935	158	pancreatic cancer	nan	1793	pancreatic parenchyma from patients who received neoadjuvant chemotherapy			8	pancreatic parenchyma from patients who did not received neoadjuvant chemotherapy			9	Differential metabolites in pancreatic parenchyma(healthy tissue) from patients who received neoadjuvant chemotherapy compared to pancreatic parenchyma from patients who did not	No discriminant metabolites were found using the Mann-WhitneyUtest	HR-MAS NMR	Pancreatic tissue	case vs.control group	28298227
METAC_936	158	pancreatic cancer	nan	1793	Pancreatic adenocarcinomas from patients who received neoadjuvant chemotherapy			62	Pancreatic adenocarcinomas from patients who did not received neoadjuvant chemotherapy			44	Differential metabolites in Pancreatic adenocarcinomas from patients who received neoadjuvant chemotherapy compared to Pancreatic adenocarcinomas from patients who did not	Aspartate (p = 0.0017) was statistically significant between PA samples from patients who received neoadjuvant chemotherapy and those who did not	HR-MAS NMR	Pancreatic tissue	case vs.control group	28298227
METAC_937	158	pancreatic cancer	nan	1793	pancreatic parenchyma(healthy tissue) from long-term survivors			8	pancreatic parenchyma(healthy tissue) from short-term survivors			9	Differential metabolites in pancreatic parenchyma(healthy tissue) from long-term survivors compared to pancreatic parenchyma from short-term survivors	Choline (p = 0.0150), ethanolamine (p = 0.0078), lactate (p = 0.0360), and phenylalanine (p = 0.0055) were statistically significant between long-term and short-term survival in patients with PA	HR-MAS NMR	Pancreatic tissue	case vs.control group	28298227
METAC_938	158	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	pancreatic cancer group			60	healthy controls			40	metabolites in pancreatic cancer patients and healthy controls	palmitic acid, 1,2-dioleoyl-sn-glycero-3-phospho-rac-glycerol, lanosterol, lignoceric acid, monooleoyl-rac-glycerol, cholesterol 5α,6α epoxide, erucic acid, T-LCA, oleoyl-L-carnitine, oleanolic acid clearly achieved the highest importance values than all other metabolites.	LC-MS/MS	Serum	case vs.control group	26735340
METAC_939	158	pancreatic cancer	nan	1793	pancreatic cancer patients from Connecticut	67.9 (44.2, 85.7)	F&M	100	healthy controls	67.8 (44.1, 84.3)	F&M	100	significantly altered plasma metabolites in both pancreatic cancer patients from Connecticut compared to healthy controls	65 differentially expressed metabolites in the CT set and 62 in the SH set were obtained, among which 31 metabolites were the same and were significantly altered in the same direction	LC/GC-MS	Plasma	case vs.control group	25429707
METAC_940	158	pancreatic cancer	nan	1793	pancreatic cancer patients from Shanghai	64.3 (40.5, 79.1)	F&M	100	healthy controls	64.4 (41.2, 79.2)	F&M	100	significantly altered plasma metabolites in both pancreatic cancer patients from Shanghai compared to healthy controls	65 differentially expressed metabolites in the CT set and 62 in the SH set were obtained, among which 31 metabolites were the same and were significantly altered in the same direction	LC/GC-MS	Plasma	case vs.control group	25429707
METAC_941	158	pancreatic cancer	nan	1793	pancreatic cancer patients with Cachexia	72 (39-76)	F&M	9	pancreatic cancer patients without Cachexia	64.5 (36-77)	F&M	12	significantly differed metabolites between pancreatic cancer patients with Cachexia and patients without Cachexia at 6:30 AM	at 6:30 AM, catechol (0.70, p = 0.04) and paraxanthine (0.21, p = 0.006); at 11:30 AM, valine (0.68, p = 0.01), proline (0.66, p = 0.049), p-hydroxybenzoic acid (0.79, p = 0.03), and paraxanthine (0.16, p = 0.006); and at 4:30 PM, valine (0.62, p = 0.02) and paraxanthine (0.13, p = 0.007). Although differences in levels of paraxanthine were not statistically significant (0.26, p = 0.08) at 9:30 PM, the levels were clearly lower in the cohort with cachexia at all time points	GC/MS	Serum	case vs.control group	25411961
METAC_942	158	pancreatic cancer	nan	1793	pancreatic cancer patients with Cachexia	72 (39-76)	F&M	9	pancreatic cancer patients without Cachexia	64.5 (36-77)	F&M	12	significantly differed metabolites between pancreatic cancer patients with Cachexia and patients without Cachexia at 11:30 AM	at 6:30 AM, catechol (0.70, p = 0.04) and paraxanthine (0.21, p = 0.006); at 11:30 AM, valine (0.68, p = 0.01), proline (0.66, p = 0.049), p-hydroxybenzoic acid (0.79, p = 0.03), and paraxanthine (0.16, p = 0.006); and at 4:30 PM, valine (0.62, p = 0.02) and paraxanthine (0.13, p = 0.007). Although differences in levels of paraxanthine were not statistically significant (0.26, p = 0.08) at 9:30 PM, the levels were clearly lower in the cohort with cachexia at all time points	GC/MS	Serum	case vs.control group	25411961
METAC_943	158	pancreatic cancer	nan	1793	pancreatic cancer patients with Cachexia	72 (39-76)	F&M	9	pancreatic cancer patients without Cachexia	64.5 (36-77)	F&M	12	significantly differed metabolites between pancreatic cancer patients with Cachexia and patients without Cachexia at 4:30 PM	at 6:30 AM, catechol (0.70, p = 0.04) and paraxanthine (0.21, p = 0.006); at 11:30 AM, valine (0.68, p = 0.01), proline (0.66, p = 0.049), p-hydroxybenzoic acid (0.79, p = 0.03), and paraxanthine (0.16, p = 0.006); and at 4:30 PM, valine (0.62, p = 0.02) and paraxanthine (0.13, p = 0.007). Although differences in levels of paraxanthine were not statistically significant (0.26, p = 0.08) at 9:30 PM, the levels were clearly lower in the cohort with cachexia at all time points	GC/MS	Serum	case vs.control group	25411961
METAC_944	158	pancreatic cancer	nan	1793	pancreatic cancer patients	65.2 (31-79)	F&M	40	healthy controls	63.8 (40-75)	F&M	50	significantly diffential metabolites in pancreatic cancer patients and healthy controls (discovery)	This approach identified 68 masses	FI-FTICR-MS	Serum	case vs.control group	24024929
METAC_945	158	pancreatic cancer	nan	1793	pancreatic cancer patients	65.2 (31-79)	F&M	40	healthy controls	63.8 (40-75)	F&M	50	significantly diffential metabolites in pancreatic cancer patients and healthy controls(validation)	The results of the FI-MS/MS analysis for each metabolic system were consistent with the FI-FTICR-MS results	FI-MS/MS	Serum	case vs.control group	24024929
METAC_946	158	pancreatic cancer	nan	1793	set A pancreatic cancer patients	59.0 (47.9-70.5)	F&M	20	set A healthy controls	51.0 (38.0-66.7)	F&M	20	differences in CA 19-9 and amino acid concentrations between set A pancreatic cancer patients and set A healthy controls	only four (arginine, glutamic acid, phenylalanine, and tryptophan) unaltered between the study groups	FIA-MS/MS	Serum	case vs.control group	23678345
METAC_947	158	pancreatic cancer	nan	1793	set A pancreatic cancer patients	59.0 (47.9-70.5)	F&M	20	set C healthy controls	53.5 (33.4-69.5)	F&M	20	differences in CA 19-9 and amino acid concentrations between set A pancreatic cancer patients and set C healthy controls	only four (arginine, glutamic acid, phenylalanine, and tryptophan) unaltered between the study groups	FIA-MS/MS	Serum	case vs.control group	23678345
METAC_948	158	pancreatic cancer	nan	1793	set A pancreatic cancer patients	59.0 (47.9-70.5)	F&M	20	set D patients with pancreatitis	43.5 (26.8-66.0)	F&M	20	differences in CA 19-9 and amino acid concentrations between set A pancreatic cancer patients and set D patients with pancreatitis	only four (arginine, glutamic acid, phenylalanine, and tryptophan) unaltered between the study groups	FIA-MS/MS	Serum	case vs.control group	23678345
METAC_949	158	pancreatic cancer	nan	1793	set C pancreatic cancer patients	66.0 (43.9-71.5)	F&M	20	set A healthy controls	51.0 (38.0-66.7)	F&M	20	differences in CA 19-9 and amino acid concentrations between set C pancreatic cancer patients and set A healthy controls	only four (arginine, glutamic acid, phenylalanine, and tryptophan) unaltered between the study groups	FIA-MS/MS	Serum	case vs.control group	23678345
METAC_950	158	pancreatic cancer	nan	1793	set C pancreatic cancer patients	66.0 (43.9-71.5)	F&M	20	set C healthy controls	53.5 (33.4-69.5)	F&M	20	differences in CA 19-9 and amino acid concentrations between set C pancreatic cancer patients and set C healthy controls	only four (arginine, glutamic acid, phenylalanine, and tryptophan) unaltered between the study groups	FIA-MS/MS	Serum	case vs.control group	23678345
METAC_951	158	pancreatic cancer	nan	1793	set C pancreatic cancer patients	66.0 (43.9-71.5)	F&M	20	set D patients with pancreatitis	43.5 (26.8-66.0)	F&M	20	differences in CA 19-9 and amino acid concentrations between set C pancreatic cancer patients and set D patients with pancreatitis	only four (arginine, glutamic acid, phenylalanine, and tryptophan) unaltered between the study groups	FIA-MS/MS	Serum	case vs.control group	23678345
METAC_952	158	pancreatic cancer	nan	1793	pancreatic cancer patients	66.2 (36-84)	F&M	43	healthy volunteers	63.2 (39-79)	F&M	42	significantly diffential metabolites in pancreatic cancer patients and healthy volunteers	18 of these metabolites displayed significantly altered levels in the pancreatic cancer compared with the healthy volunteers	GC/MS	Serum	case vs.control group	23542803
METAC_953	158	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	metastatic pancreatic cancer patients				patients with pancreatitis			5	differential ceramides and cerebrosides between metastatic pancreatic cancer patients and patients with pancreatitis	higher tissue levels of C16:0-ceramide (p < 0.05) and C24:1-ceramide (p < 0.005) were associated with positive regional lymph node metastasis	LC-MS/MS	Pancreatic tissue	case vs.control group	24970174
METAC_954	158	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	metastatic pancreatic cancer patients				patients with pancreatitis			5	differential ceramides and cerebrosides between metastatic pancreatic cancer patients and patients with pancreatitis	higher tissue levels of C16:0-ceramide (p < 0.05) and C24:1-ceramide (p < 0.005) were associated with positive regional lymph node metastasis	LC-MS/MS	Plasma	case vs.control group	24970174
METAC_955	158	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	non-metastatic pancreatic cancer patients				patients with pancreatitis			5	differential cerebrosides between non-metastatic pancreatic cancer patients and patients with pancreatitis	higher tissue levels of C16:0-ceramide (p < 0.05) and C24:1-ceramide (p < 0.005) were associated with positive regional lymph node metastasis	LC-MS/MS	Pancreatic tissue	case vs.control group	24970174
METAC_956	134	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	metastatic pancreatic cancer patients				non-metastatic pancreatic cancer patients				differential ceramides and cerebrosides between metastatic pancreatic cancer patients and non-metastatic pancreatic cancer patients	patients with positive lymph node metastasis have a markedly higher level of ceramide species (C16:0 and C24:1) in their tumor specimens compared to pancreatic cancer patients without nodal disease or to patients with pancreatitis	LC-MS/MS	Pancreatic tissue	case vs.control group	24970174
METAC_957	134	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	metastatic pancreatic cancer patients				non-metastatic pancreatic cancer patients				differential ceramides and cerebrosides between metastatic pancreatic cancer patients and non-metastatic pancreatic cancer patients	patients with positive lymph node metastasis have a markedly higher level of ceramide species (C16:0 and C24:1) in their tumor specimens compared to pancreatic cancer patients without nodal disease or to patients with pancreatitis	LC-MS/MS	Plasma	case vs.control group	24970174
METAC_958	158	pancreatic cancer	Pancreatic ductal adenocarcinoma	1793	Pancreatic ductal adenocarcinoma(PDAC) patients	64 (55-76)	F&M	5	controls without cancer	49.8 (32-71)	F&M	5	differential metabolites in Pancreatic ductal adenocarcinoma (PDAC) patients and controls without cancer	The candidate biomarkers included amino acids such as N-methylalanine, lysine, glutamine, phenylalanine, fatty acids such as arachidonic acid, lipids such as lysoPC (18:2), PC (34:2), PE (26:0), and bile acids such as tauroursodeoxycholic acid, taurocholic acid, deoxycholylglycine and cholylglycine.	GC-TOF-MS;HILIC-LC/MS;RP-LC/MS	Plasma	case vs.control group	20143319
METAC_959	170	prostate cancer	nan	10283	prostate cancer	64.2 ± 8.1	M	32	healthy group	52.9 ± 10.7	M	32	Statistically significant metabolites identified in urine samples from prostate cancer patients compared to healthy volunteers with LC-TOF/MS technique in positive (+) and negative (-) polarity	The selected pathways, like urea and tricarboxylic acid cycle, amino acid and purine metabolism, can play crucial role in pathogenesis of prostate cancer disease.	LC-TOF/MS	Urine	case vs.control group	25684700
METAC_960	170	prostate cancer	nan	10283	prostate cancer	64.2 ± 8.1	M	32	healthy group	52.9 ± 10.7	M	32	Statistically significant metabolites identified in urine samples from prostate cancer patients compared to healthy volunteers with GC-MS technique.	The selected pathways, like urea and tricarboxylic acid cycle, amino acid and purine metabolism, can play crucial role in pathogenesis of prostate cancer disease.	GC-MS	Urine	case vs.control group	25684700
METAC_961	170	prostate cancer	nan	10283	prostate cancer		M	30	healthy group		M	30	Identification of a potential biomarker between prostate cancer patients and controls	nan	LC-HRMS	Urine	case vs.control group	23823321
METAC_962	170	prostate cancer	nan	10283	malignant tissue samples from prostate cancer specimens	64 (62.5-65)	M	95	non-malignant tissue samples from prostate cancer specimens	64 (62.5-65)	M	95	List of the 172 known metabolites detected between malignant and non-malignant tissue samples from prostate cancer specimens	In matched malignant and nonmalignant prostatectomy samples from 95 PCa patients, aminoadipic acid, cerebronic acid, gluconic acid, glycerophosphoethanolamine, 2-hydroxybehenic acid, isopentenyl pyrophosphate, maltotriose, 7-methylguanine and tricosanoic acid were determined within a global metabolite profiling study using gas chromatography/liquid chromatography-mass spectrometry.	GC-MS;LC-MS/MS	Prostate tissue	case vs.control group	23737455
METAC_963	170	prostate cancer	nan	10283	Cancer samples		M	111	Normal adjacent samples		M	47	Metabolite concentrations (mmol/kg) in cancer and normal prostate tissue samples.	nan	HR-MAS MRS	Prostate tissue	case vs.control group	23626811
